id,topic,topicUr
p6,Different types of natural flowing water,پانی کے رستے اور اسکے ذخیرے
p7,To ask for water,پانی مانگنا
p8,Feet,پاوّں
p9,Stone,پتھر
p10,"Behind, latter",پچھلا
p11,To regret,پچھتانا
p12,To be old/ancient,پرانا ہونا
p13,Veil,پردہ
p14,"To cover, veil",پردہ کرنا
p15,To bring up/nurture,پرورش کرنا
p16,"To teach, to read",پڑھانا پڑھنا
p17,"To like, ",پسند کرنا
p18,"To shout, call out",پکارنا
p19,To seize,پکڑنا
p20,"Protection, shelter, refuge",پناہ – پناہ گاہ
p21,"To ask for refuge, to give refuge",پناہ مانگنا - دینا
p22,To ask,پوچھنا
p23,"Whole entire, (all)",پورا  [سارا سب]
p24,"Accomplish , to complete",پورا کرنا -ہونا
p25,"Garments, clothes",پوشاک
p26,Mountain,پہار
p27,To recognize,پہچاننا
p28,"First, at first",پہلا پہلی پہلے
p29,"Side, (in sleeping)",پہلو [کروٹ] 
p30, To reach,پہنچنا
p31,To deliver,پہنچانا
p32,"To tear, rip ",پھاڑنا
p33,"To Burst, explode",پھٹنا
p34,"To stroll, to wander",پھرنا  
p35,"To turn over, to refute",پھیرنا
p36,"To slip, cause to slip, to seduce",پھسلنا  پھسلانا
p37,Fruit,پھل
p38,Ripening of the fruit,پھل پکنا
p39,To blow,پھونک مارنا
p40,To spread,پھیلانا
p41,To discard,پھینکنا 
p42,Thirsty,پیاسا
p43,Bowl,پیالہ
p44,Puss,پیپ
p45,"Backbone, loin",پیٹھ پشت
p46,To follow,پیچھا کرنا
p47,"Back, behind",پیچھے
p48,"Ensue, to come after",پیچھے آنا
p49,To leave behind,چھوڑنا
p50,To stay behind,پیچھے رہنا
p51,"To put behind, cause to delay",پیچھے کرنا یا ڈالنا
p52,"To pursue, follow, cause to",پیچھے لگانا - لگنا
p53,Other derivatives of behind,پیچھے کے دوسرے مشتقات
p54,To create,پیدا کرنا
p55,To present,پیش کرنا
p56,Forehead,پیشانی
p57,Prophet,پیغمبر
p58,"The opponent, rival of prophets",پیغمبروں کے حریف
p59,To drink,پینا
t1,Star (different types),تارا [اقسام]
t2,Spread of darkness,تاریکی چھانا
t3,fresh,تازہ
t4,"So that, so not",تاکہ – تاکہ نہ
t5,Copper,تانبا
t6,"Throne,  bed",تخت 
t7,"Plank of wood, a board",تختہ
t8,"Plot, to plot",تدبیر –تدبیر کرنا
t9,scales,ترازو
t10,To carve,تراشنا
t11,vegetables,ترکاری
t12,Glorification of Allah,تسبیح و تقدیس
t13,Peace and consolation,تسکین تسلی
t14,"To interpret, ",تعبیر بتلانا
t15,To praise,تعریف کرنا
t16,"To honour, respect",تعظیم کرنا
t17,"To, until",تک
t18,"Trouble, difficulty, hardship",تکلیف
t19,"To trouble, to endure hardship",تکلیف دینا - اٹھانا
t20,"To cure, to be healthy",تندرست کرنا -ہونا
t21,"Poor, destitute",تنگدستی
t22,hardship,تنگی
t23,"To narrow down, ",تنگ کرنا- ہونا
t24,To break,توڑنا-
t25,To give Divine help,توفیق دینا- 
t26,Layered,تہ بہ تہ
t27,To get tired,تھکنا ]
t28,Stop ,تھمنا [رکنا]
t29,Less,تھوڑا
t30,To prepare,تیار کرنا
t31,Arrow,تیر
t32,Sharp,تیز
t33,Oil,تیل
t34,"Scowl, frown",تیوری چڑھانا
tt1,Piece,ٹکڑا
tt2,To break,ٹوٹنا
tt3,"To be cool , to cool",ٹھندا ہونا - کرنا
tt4,"To stay, to stop",ٹھیرنا [رکنا]
tt5,"To stay, to reside ",ٹھیرنا آباد ہونا
tt6,Hill and types,ٹیلہ اور اسکی اقسام
tt7,"Crooked, to be bent",ٹیڑھ  ٹیڑھا ہونا  
tt8,To lean against something,ٹیک لگانا
th1,proven,ثابت ہونا
th2,To be steadfast,ثابت قدم رہنا  رکھنا 
j1,To spy,جاسوسی کرنا
j2,To know,جاننا
j3,"Side,  towards, over there",جانب سمت
j4,when,جب
j5,root,جڑھ
j6,Body,جسم
j7,"To bind, fasten, shackle",جکڑنا
j8,Place,جگہ
j9,Exile,جلا وطنی
j10,"To hasten, to hurry",جلدی کرنا
j11,Group,جماعت
j12,Groups of animals,جماعت جانوروں کی
j13,Jinn,جن
j14,Paradise and its different names,جنت اور اسکے مختلف نام
j15,"War, battle",جنگ
j16,To give birth,جننا
j17,"To answer, reply",جواب دینا 
j18,"Adolescence, youth",جوانی
j19,"Couple, pair",جوڑا
j20,To join,جوڑنا
j21,"Where, wherever",جہاں-  جہاں کہیں
j22,To scold,جھڑکنا 
j23,"To bend, bow, incline, stoop",جھکنا مائل ہونا
j24,"Cause to bend, stoop",جھکانا
j25,To quarrel,جھگڑنا
j26,lie,جھوٹ 
j27,"To lie, fabricate", جھوٹ بولنا یا بنانا
j28,"To falsify, belie, refute",جھٹلانا
ch1,Keys,چابی کنجی
ch2,Sheet,چادر
ch3,"Fodder,  grains – food for herbivores",چارہ
ch4,Moon,چاند
ch5,"To like, intend, desire",چاہنا
ch6,To stay/be quiet,چپ ہونا رہنا
ch7,Lamp,چراغ
ch8,To graze,چرانا
ch9,"To climb, ascend, rise",چڑھنا
ch10,"Fountain, spring",چشمہ
ch11,The bursting and flowing of a  stream,اور بہنا چشمہ کا پھوٹنا
ch12,To walk and types of walking,چلنا
ch13,Cause to walk or move,چلانا
ch14,To scream,چلانا چیخنا
ch15,"To stick , cling",چمٹنا
ch16,"Shine/flash, to shine/flash",چمک چمکنا
ch17,"Some, few",چند
ch18,To choose,چن لینا
ch19,Creatures,چوپائے
ch20,Violently smashed  or broken into minute pieces,  ریزہ ریزہ کرنا چورہ چورہ
ch21,To steal,چوری کرنا
ch22,guard,چوکیدار
ch23," hide,  disappear",چھپنا [غائب ہونا]
ch24,To conceal,چھپانا
ch25,roof,چھت
ch26,To leave,چھوڑنا   
ch27,Cause to liberate,چھڑانا
ch28,Touch,چھونا
HA1,need,حاجت
HA2,present,حاضر
HA3,"Condition, state",حال - حالت
HA4,"Ruler, authoritarian ",حاکم
HA5,"To exceed bounds, transgress",حد سے بڑھنا – زیادتی کرنا
HA6,To fall short,حد سے کم کرنا
HA7,Forbidden,حرام
HA8,"Part, portion",حصہ
HA9,To protect,حفاظت کرنا
HA10,Rightful,حقدار
HA11,Right of dowry,حق مہر
HA12,"Order, to command",حکم حکم دینا
HA13,To attack,حملہ کرنا
HA14,To be astonished,حیران ہونا
HA15,Menstruation,حیض
kh1,husband,خاوند
kh2,news,خبر
kh3,finish,ختم ہونا
kh4,servant,خدمت گار
kh5,"Spoiled, ruined",خرابی
kh6,"To ruin, corrupt",خراب کرنا- ہونا
kh7,To spend,خرچ کرنا
kh8,To undertake transactions,خرید وفروخت کرنا
kh9,treasure,خزانہ
kh10,dry/dehydrated,خشک ہونا
kh11,"To liberate, to free",خلاصی چھٹکارا پانا
kh12,creation,خلقت مخلوق
kh13,dream,خواب
kh14,Wish/desire/hope,خواہش
kh15,Beautiful,خوبصورت
kh16,To bring food/nourishment,خوراک لانا
kh17,"To be happy, to make happy, to look happy",خوش ہونا – کرنا -لگنا
kh18,Happiness and Prosperity,خوشحالی 
kh19,"Bunch(of grapes etc), ear (of corn)",خوشے
kh20,Breach of trust,خیانت کرنا
kh21,"Tent, pavilion",خیمہ - سائبان
d1,"To enter, to be entered",داخل ہونا - کرنا
d2,Superintendent,داروغہ
d3,To mark/scar,داغ دینا
d4,"slim, lean",دبلا
d5,"Prolong, lengthen",دراز ہونا - کرنا
d6,Very persistent,در پے ہونا
d7,Trees and shrubs,درخت اور پودے
d8,"Correct, sound",درست ٹھیک
d9,"To correct, rectify",درست کرنا
d10,In between,درمیان
d11,"Enemy, animosity",دشمن دشمنی
d12,To pray for/to,دعا دینا - کرنا
d13,Heart,دل
d14,Inspiration in the heart,دل میں بات ڈالنا
d15,Proof,دلیل
d16,Day and its times,دن اور اسکے اوقات
d17,Different names for the world,دنیا کے مختلف نام
d18,Far away,دور
d19,"To distance, to be distanced",دور کرنا - ہونا
d20,To run,ڈورنا 
d21,Cause to run,ڈورانا
d22,Hell and its various names,دوزخ اور اسکے مختلف نام
d23,Angels of hell fire,دوزخ کے فرشتے
d24,friend,دوست
d25,"Drive (dogs out), revile, reprove",دھتکارنا
d26,Concealed,دھندلانا
d27,Smoke,دھواں
d28,Sunshine,دھوپ
d29,To deceive,دھوکہ دینا
d30,"To see, look ",دیکھنا
d31,Various ways of looking,دیکھنا [کیفیت نظر]
d32,To show/reveal,دکھلانا
d33,Religion,دین
d34,To give,دینا
d35,Wall,دیوار
d36,"Lunatic , insanity",دیوانہ- دیوانگی
dd1,"To throw, pour, cast away",ڈالنا
dd2,"To drown, dip",ڈبونا
dd3,To fear,ڈرنا
dd4,To frighten,ڈرانا
dd5,Bucket,ڈول
dd6,Shield,ڈھال
dd7,To cover,ڈھانکنا
dd8,Setting (ie sun) ,ڈھلنا
dd9,To search,ڈھونڈنا
dh1,To slaughter,ذبح کرنا
dh2,"Means, medium",ذریعہ
dh3,disgrace,ذلت
dh4,disgraced,ذلیل
dh5,To disgrace,ذلیل کرنا
dh6,responsibility,ذمہ داری
r1,night,رات
r2, Actions in the night,رات کے کام
r3,"Path, way",راہ - راستہ
r4,To establish,راہ ڈالنا –رائج کرنا
r5,"To satisfy, to be pleased ",راضی کرنا - ہونا
r6,To attain status,رتبہ پانا
r7,To face,رخ کرنا
r8,Worthless,ردی – نا کارہ
r9,Rope,رسسی
r10,Relative,رشتہ  دار
r11,Approval,رضامندی [خوشنودی]
r12,To incline,رغبت کرنا
r13,"To put, place ",رکھنا
r14,Colour,رنگ
r15,"Light, to illuminate",روشنی  روشن کرنا - ہونا
r16,Fasting person,روزہ دار
r17,"To prohibit, stop",روکنا
r18,To stop,رکنا
r19,To trample,روندنا
r20,"Splendor, illumined, resplendent",رونق
r21,Sand,ریت
z1,surplus,زائد
z2,To force,زبردستی کرنا
z3,"Wound , gash",زخم
z4,Period of time,زمانہ
z5,Earth and its varieties,زمین اور اسکی اقسام
z6,Sink/collapse into the Earth,زمین بوس ہونا – کرنا 
z7,Chains,زنجیریں
z8,Bring to live,زندہ کرنا
z9,To be live,زندہ ہونا - رہنا
z10,"Elegance, beauty, ornaments",زینت
s1,Along with,ساتھ
s2,companion,ساتھی
s3,Year ,سال
s4,"Goods, provisions",سامان
s5,"To face, appear in front of",سامنے آنا
s6,snake,سانپ
s7,"All,  whole, entire",سب سارے
s8,To entrust,سپرد [حوالے] کرنا
s9,truth,سچ
s10,hard,سخت
s11,hardness,سختی
s12,To raise head,سر اٹھانا
s13,"Chief , leader",سردار
s14,"Cold , winter",سردی
s15,Reckless and arrogant,سرکشی کرنا
s16,To whisper,سرگوشی کرنا
s17,tunnel,سرنگ
s18,"To be lazy, procastinate",سستی کرنا
s19,To travel,سفر کرنا
s20,"to understand, to advise",سمجھنا - سمجھانا
s21,To listen,سننا
s22,To adorn,سنوارنا
s23,"To ride, to mount",سوار ہونا - کرنا
s24,except,سوائے
s25,To sleep,سونا
s26,black,سیاہ سیاہی
s27,straight,سیدھا سیدھی
s28,Cause to travel,سیر کرانا
s29,ladder,سیڑھی
s30,"To learn, teach",سیکھنا سیکھانا
sh1,branch,شاخ
sh2,evening,شام
sh3,maybe,شائد
sh4,"Beer, wine",شراب 
sh5,To be shy,شرمانا
sh6, To start,شروع کرنا
sh7,Private part,شرمگاہ
sh8,"Accomplice, partner",شریک
sh9,Flame,شعلہ
sh10,"Doubt, suspicion",شک و شبہ
sh11,"Shape, figure",شکل و صورت
sh12,Give shape,شکل و صورت بنانا
sh13,split,شگاف
sh14,"Town, city",شہر
sh15,glass,شیشہ
SA1,"To cleanse, wipe ",صاف کرنا
SA2,morning,صبح
SA3,Actions related to the  morning,صبح کرنا
SA4,To be patient,صبر کرنا
SA5,Peace treaty,صلح
DA1,guarantor,ضامن
TA1,Strength,Taaqat
TA2,"Having strength, strong",Taaqat rakhna
TA3,Tradition,"Tareeqah, Dastoor"
TA4,Taunt,Tanah deyna
TA5,To put shackles,Thawq dalna
TA6,To keep hope,Tama3 rakhna
TA7,To decide,Tay karna
ZA1,"To become manifest, revealed",ظاہر ہونا
ZA2,"To reveal, manifest",ظاہر کرنا
E1,"To be helpless, fall short",عاجز آنا
E2,To show humility,عاجزی کرنا
E3,scholar,عالم 
E4,Places of worships,عبادت گاہیں
E5,punishment,عزاب – سزا 
E6,To give punishment,عزاب دینا
E7,Different types of punishments,عزاب کی اقسام
E8,Confer honor/ dignity,عزت بخشنا
E9,"Honorable, respectable",عزت والا - معزز
E10,"Brain, intelligent",عقل - عقلمند
E11,To lose his brains,عقل کھودینا
E12,women,عورت
E13,"Promise , oath",عہد - وعدہ
gh1,Cave,غار 
gh2,To be neglectful,غافل ہونا – کرنا 
gh3,"To become overpowered, to be overpowered,  to overpower, ",غالب آنا  ہونا کرنا
gh4,Dust,غبار 
gh5,"Anger, temper",غصہ
gh6,To enrage,غصۃ دلانا
gh7,"Grief, sadness",غم
gh8,To be sad,غمگین ہونا
gh9,To reflect,غور کرنا
f1,"Benefit, to give benefit",فائدہ – فائدہ دینا
f2,To conquer,فتح ہونا -دینا
f3,Sufficient,فراخی آسودگی 
f4,"To be broaden, to make space",فراخ ہونا – کرنا 
f5,Angel,فرشتہ
f6,Difference,فرق
f7,Group of people,فرقہ - گروہ
f8,Cry out for assistance ,فریاد رسی
f9,To implore,فریاد کرنا
f10,"To corrupt, to create problems",فساد کرنا- ڈالنا
f11,Useless talk ,فضول باتیں کرنا
f12,To spend  excessively,فضول خرچی کرنا
f13,To give honour,فضیلت دینا
f14,To decree/make a decision,فیصلہ کرنا
q1,To gain control,قابو پانا
q2,caravan,قافلہ
q3,grave,قبر
q4,To accept,قبول کرنا
q5,"Family,tribe",قبیلہ خاندان
q6,To kill,قتل کرنا 
q7,step,قدم
q8,To have stability,قرار پکڑنا
q9,Different names of the Quran,قرآن کے مختلف نام
q10,Animal of sacrificeا,قربانی کا جانور
q11,To take an oath,قسم اٹھانا
q12,To break an oath,قسم توڑنا
q13,fort,قلعہ
q14,To strengthen,قوت دینا 
q15,"Shirt, garment",قمیص
q16,Doomsday and its different names,قیامت اور اسکے مختلف نام
q17,jail,قید خانہ
q18,To imprison,قید کرنا   قیدی بنانا
k1,"To cut, ",کاٹنا
k2,Cut,کٹنا
k3,Paper,کاغز
k4,To be enough,کافی ہونا
k5,To be of use,کام آنا
k6,"Work, To work",کام – کام کرنا
k7,To be successful,کامیاب ہونا
k8,Ears,کان
k9,"To tremble, shiver",کانپنا
k10,When,کب
k11,Book,کتاب
k12,"To dodge, evade",کترا جانا – بچ کر نکل جانا
k13,"How much, how many",کتنا کتنے
k14,To scratch,کریدنا
k15,"Bitter, unpalatable",کڑوا
k16,"Peasant, farmer",کسان
k17,ship,کشتی جہاز
k18,Kaaba and its different names,کعبہ اور اسکے مختلف نام
k19,"Yesterday, tomorrow",کل
k20," To decrease, ", گھٹانا  کم کرنا کمی کرنا
k21,"To earn, ",کمانا – کمائی کرنا
k22,Room,کمرہ
k23,Weak,کمزور
k24,"Edge, brink",کنارہ 
k25,Well,کنواں
k26,Whip,کوڑا
k27,"To endeavor,",کوشش کرنا
k28,Who,کون
k29,"Anybody, somebody",کوئی
k30,"Who , which, that, such as",کہ گویا کہ
k31,Where,کہاں
k32,"Stories, legends, incidents",کہانیاں  واقعات
k33,Skin,کھال
k34,To remove the skin,کھال اتارنا
k35,Food,کھانا
k36,To feed,کھلانا
k37,dates,کھجور
k38,"To stand, cause to stand",کھڑا ہونا - کرنا
k39,To boil,کھولنا
k40,To open,کھولنا
k41,Fields  of crop,کھیتی
k42,To pull,کھینچنا
k43,To play,کھیلنا
k44,What,کیا
k45,How,کیسے
k46,"Why, why not",کیوں – کیوں نہ
gg1,To pitch/plant,گاڑنا
gg2,Passage of time,گردش ایام
gg3,Neck,گردن
gg4,"To grasp, to arrest",گرفت کرنا
gg5,"Heat, to heat, to be hot",گرمی – گرم کرنا- ہونا 
gg6,To obtain heat,گرمی حاصل کرنا
gg7,"To fall, cause to fall",گرنا - گرانا
gg8,To pawn,گروی رکھنا
gg9,Ditch,گڑھا
gg10,To pass by,گزرنا
gg11,neck,گلا
gg12,To be lost,گم ہونا
gg13,To think/have thoughts,گمان کرنا
gg14,Sin,گناہ
gg15,Sinful,گنہگار
gg16,"Filth, impurity",گند گی نجاست
gg17,To count,گننا
gg18,Lap,گود
gg19,"Deep, deepness",گہرا - گہرائی
gg20,Watering place,گھاٹ 
gg21,Valley,گھاٹی
gg22,House,گھر
gg23,Time,گھڑی
gg24,Enter by force,گھسنا
gg25,To drag,گھسیٹنا
gg26,horse,گھوڑا
gg27,To surround,گھیرنا
l1,"Stick, staff",لاٹھی
l2,To bring,لانا
l3,To be capable,لائق ہونا
l4,"To coil , enwrap",لپیٹنا لپٹنا
l5,"To hang, dangle",لٹکنا لٹکانا
l6,To regard,لحاظ رکھنا
l7,Army,لشکر
l8,Wood,لکڑی
l9,To write,لکھنا
l10,Cause to write,لکھوانا
l11,Writers,لکھنے والے
l12,Continuous,لگاتار پے در پے
l13,To return,لوٹانا لوٹنا  رجوع کرنا
l14,Divine tablet recording and its various names,لوح محفوظ اور اسکے مختلف نام
l15,"Maid, servant",لونڈی  غلام 
l16,To take,لینا
l17,To be involved in transactions,لین دین کرنا
m1,"To hit, beat, whip, stone",مارنا
m2,"To kill, to die",مار ڈالنا - مرنا
m3,Goods wealth,مال و دولت
m4,Owner,مالک
m5,Mother,ماں
m6,"To ask, beg",مانگنا
m7,To erase,مٹانا
m8,Soil and its different stages,مٹی اور اسکی مختلف حالتیں
m9,"To copulate, intercourse",مجامعت کرنا
m10,"Organization, meeting",مجلس
m11,Fish,مچھلی
m12,Love – to love,محبت -  کرنا
m13,Palace,محل
m14,"To work hard, to endure hardship",محنت کرنا – مشقت اٹھانا
m15,To actively oppose,مخالفت کرنا
m16,"Different, various",مختلف
m17,"Time, length of time",مدت
m18,"To help, assist, to wish for help",مدد دینا – کرنا - چاہنا
m19,helper,مدد گار
m20,To ridicule,مزاق اڑانا
m21,man,مرد
m22,Taste,مزا 
m23,"To adorn, decorate",مزین کرنا
m24,traveller,مسافر
m25,To harness,مسخر کرنا
m26,To subdued,مسلط کرنا
m27,To be busy,مشغول ہونا - 
m28,To put in hardship,مشقت میں ڈالنا
m29,To consult,مشورہ کرنا
m30,To make famous,مشہور کرنا
m31,"Strong, fixed",مضبوط 
m32,"To make it firm, strong",مضبوط بنانا - کرنا
m33,"To forgive, pardon",معاف کرنا  بخشنا درگزر کرنا
m34,Deity,معبود
m35,Status and capacity,مقدور - حیثیت
m36,"To appoint, ",مقرر کرنا
m37,fly,مکھی
m38,To meet,ملنا
m39,"To join, mix, blend ",ملانا
m40,To turn your face away,منہ پھیرنا
m41,To agree,موافقت کرنا
m42,"To bend, turn",موڑنا
m43,Merciful,مہربان
m44,"To stamp, to put a seal",مہر لگانا
m45,"To give time, reprieve",مہلت دینا
m46,Visitor,مہمان
m47,Months,مہینے
m48,"Peg, nail",میخ
n1,To be hopeless,نا امید ہونا
n2,"Impure, polluted, ",ناپاک
n3,Disliked thing,ناپسندیدہ
n4,"Ignorant, naive",نادان
n5,Upset and angry,ناراضگی
n6,Ungrateful,ناشکرا
n7,To disobey,نافرمانی کرنا
n8,Nose,ناک
n9,"Name, to keep a name",نام - رکھنا
n10,Inauspicious,نامبارک
n11,To be liberated,نجات پانا
n12,Gifts and oblations,نذر و نیاز
n13,"To be soft, soften",نرم ہونا - کرنا
n14,"To be near, to make it close",نزدیک ہونا - کرنا
n15,sign,نشانی
n16,To place an emblem,نشان لگانا
n17,"Advice, to give , to attain",نصیحت – کرنا – حاصل کرنا
n18,"Grace, divine blessings",نعمت
n19,To give blessings,نعمت عطا کرنا
n20,"To have loss, incur loss",نقصان ہونا - اٹھانا
n21,"To marry, marry off",نکاح کرنا - کرانا
n22,To come out,نکلنا
n23,To take out,نکالنا
n24,"Glance, sight",نگاہ
n25,watchman,نگہبان
n26,To swallow,نگلنا
n27,To wash,نہانا -دھونا
n28,"No, nay",نہیں
n29,"New , to be fresh",نیا – نیا ہونا
n30,"Under, lowest",نیچے
n31,To lower,نیچے [پست ] کرنا
n32,"Pious, virtuous",نیک  نیکبخت
n33,"Good, piety",نیکی – نیک کام
n34,"To do good, ",نیکی کرنا
w1,plentiful,وافر- بہت
w2,The ones of/the people of ,والا-  والے
w3,inheritance,وراثت
w4,time,وقت
h1,"Hand, either right hand or left hand, arm",ہاتھ
h2,yes,ہاں
h3,To pant,ہانپنا
h4,To remove,ہٹانا
h5,"To receive guidance, to give guidance",ہدایت دینا پانا
h6,destruction,ہلاکت
h7,"To be perished, to destroy",ہلاک ہونا - کرنا
h8,"To be light(in weight), to make light",ہلکا ہونا - کرنا
h9,"To move, to shake ",ہلنا - ہلانا
h10,Congruence ,ہم آہنگی - ہونا
h11,To lose heart,ہمت ہارنا
h12,To make level,ہموار کرنا
h13,Always,ہمیشہ
h14,To remain always,ہمیشہ ہونا - رہنا
h15,To laugh,ہنسنا
h16,Wind  and its different types,ہوا اور اسکی اقسام
h17,To happen,ہونا
y1,or,یا
y2,To remember,یاد کرنا – آنا - رکھنا
y3,"To belief, to have faith",یقین کرنا
y4,To have complete devotion,یکسو ہونا
