H9,حفاظت کرنا,To protect
H10,حقدار,Rightful
H11,حق مہر,Right of dowry
H12,حکم حکم دینا,"Order, to command"
H13,حملہ کرنا,To attack
H14,حیران ہونا,To be astonished
H15,حیض,Menstruation
g1,غار ,Cave
g2,غافل ہونا – کرنا ,To be neglectful
g3,غالب آنا  ہونا کرنا,"To become overpowered, to be overpowered,  to overpower, "
g4,غبار ,Dust
g5,غصہ,"Anger, temper"
g6,غصۃ دلانا,To enrage
g7,غم,"Grief, sadness"
g8,غمگین ہونا,To be sad
g9,غور کرنا,To reflect
l1,لاٹھی,"Stick, staff"
l2,لانا,To bring
l3,لائق ہونا,To be capable
l4,لپیٹنا لپٹنا,"To coil , enwrap"
l5,لٹکنا لٹکانا,"To hang, dangle"
l6,لحاظ رکھنا,To regard
l7,لشکر,Army
l8,لکڑی,Wood
l9,لکھنا,To write
l10,لکھوانا,Cause to write
l11,لکھنے والے,Writers
l12,لگاتار پے در پے,Continuous
l13,لوٹانا لوٹنا  رجوع کرنا,To return
l14,لوح محفوظ اور اسکے مختلف نام,Divine tablet recording and its various names
l15,لونڈی  غلام ,"Maid, servant"
l16,لینا,To take
l17,لین دین کرنا,To be involved in transactions
n1,نا امید ہونا,To be hopeless
n2,ناپاک,"Impure, polluted, "
n3,ناپسندیدہ,Disliked thing
n4,نادان,"Ignorant, naive"
n5,ناراضگی,Upset and angry
n6,ناشکرا,Ungrateful
n7,نافرمانی کرنا,To disobey
n8,ناک,Nose
n9,نام - رکھنا,"Name, to keep a name"
n10,نامبارک,Inauspicious
n11,نجات پانا,To be liberated
n12,نذر و نیاز,Gifts and oblations
n13,نرم ہونا - کرنا,"To be soft, soften"
n14,نزدیک ہونا - کرنا,"To be near, to make it close"
n15,نشانی,sign
n16,نشان لگانا,To place an emblem
n17,نصیحت – کرنا – حاصل کرنا,"Advice, to give , to attain"
n18,نعمت,"Grace, divine blessings"
n19,نعمت عطا کرنا,To give blessings
n20,نقصان ہونا - اٹھانا,"To have loss, incur loss"
n21,نکاح کرنا - کرانا,"To marry, marry off"
n22,نکلنا,To come out
n23,نکالنا,To take out
n24,نگاہ,"Glance, sight"
n25,نگہبان,watchman
n26,نگلنا,To swallow
n27,نہانا -دھونا,To wash
n28,نہیں,"No, nay"
n29,نیا – نیا ہونا,"New , to be fresh"
n30,نیچے,"Under, lowest"
n31,نیچے [پست ] کرنا,To lower
n32,نیک  نیکبخت,"Pious, virtuous"
n33,نیکی – نیک کام,"Good, piety"
n34,نیکی کرنا,"To do good, "
m1,مارنا,"To hit, beat, whip, stone"
m2,مار ڈالنا - مرنا,"To kill, to die"
m3,مال و دولت,Goods wealth
m4,مالک,Owner
m5,ماں,Mother
m6,مانگنا,"To ask, beg"
m7,مٹانا,To erase
m8,مٹی اور اسکی مختلف حالتیں,Soil and its different stages
m9,مجامعت کرنا,"To copulate, intercourse"
m10,مجلس,"Organization, meeting"
m11,مچھلی,Fish
m12,محبت -  کرنا,Love – to love
m13,محل,Palace
m14,محنت کرنا – مشقت اٹھانا,"To work hard, to endure hardship"
m15,مخالفت کرنا,To actively oppose
m16,مختلف,"Different, various"
m17,مدت,"Time, length of time"
m18,مدد دینا – کرنا - چاہنا,"To help, assist, to wish for help"
m19,مدد گار,helper
m20,مزاق اڑانا,To ridicule
m21,مرد,man
m22,مزا ,Taste
m23,مزین کرنا,"To adorn, decorate"
m24,مسافر,traveller
m25,مسخر کرنا,To harness
m26,مسلط کرنا,To subdued
m27,مشغول ہونا - ,To be busy
m28,مشقت میں ڈالنا,To put in hardship
m29,مشورہ کرنا,To consult
m30,مشہور کرنا,To make famous
m31,مضبوط ,"Strong, fixed"
m32,مضبوط بنانا - کرنا,"To make it firm, strong"
m33,معاف کرنا  بخشنا درگزر کرنا,"To forgive, pardon"
m34,معبود,Deity
m35,مقدور - حیثیت,Status and capacity
m36,مقرر کرنا,"To appoint, "
m37,مکھی,fly
m38,ملنا,To meet
m39,ملانا,"To join, mix, blend "
m40,منہ پھیرنا,To turn your face away
m41,موافقت کرنا,To agree
m42,موڑنا,"To bend, turn"
m43,مہربان,Merciful
m44,مہر لگانا,"To stamp, to put a seal"
m45,مہلت دینا,"To give time, reprieve"
m46,مہمان,Visitor
m47,مہینے,Months
m48,میخ,"Peg, nail"
t1,تارا [اقسام],Star (different types)
t2,تاریکی چھانا,Spread of darkness
t3,تازہ,fresh
t4,تاکہ – تاکہ نہ,"So that, so not"
t5,تانبا,Copper
t6,تخت ,"Throne,  bed"
t7,تختہ,"Plank of wood, a board"
t8,تدبیر –تدبیر کرنا,"Plot, to plot"
t9,ترازو,scales
t10,تراشنا,To carve
t11,ترکاری,vegetables
t12,تسبیح و تقدیس,Glorification of Allah
t13,تسکین تسلی,Peace and consolation
t14,تعبیر بتلانا,"To interpret, "
t15,تعریف کرنا,To praise
t16,تعظیم کرنا,"To honour, respect"
t17,تک,"To, until"
t18,تکلیف,"Trouble, difficulty, hardship"
t19,تکلیف دینا - اٹھانا,"To trouble, to endure hardship"
t20,تندرست کرنا -ہونا,"To cure, to be healthy"
t21,تنگدستی,"Poor, destitute"
t22,تنگی,hardship
t23,تنگ کرنا- ہونا,"To narrow down, "
t24,توڑنا-,To break
t25,توفیق دینا- ,To give Divine help
t26,تہ بہ تہ,Layered
t27,تھکنا ],To get tired
t28,تھمنا [رکنا],Stop 
t29,تھوڑا,Less
t30,تیار کرنا,To prepare
t31,تیر,Arrow
t32,تیز,Sharp
t33,تیل,Oil
t34,تیوری چڑھانا,"Scowl, frown"
t35,ٹکڑا,Piece
t36,ٹوٹنا,To break
t37,ٹھندا ہونا - کرنا,"To be cool , to cool"
t38,ٹھیرنا [رکنا],"To stay, to stop"
t39,ٹھیرنا آباد ہونا,"To stay, to reside "
t40,ٹیلہ اور اسکی اقسام,Hill and types
t41,ٹیڑھ  ٹیڑھا ہونا  ,"Crooked, to be bent"
t42,ٹیک لگانا,To lean against something
t43,ثابت ہونا,proven
t44,ثابت قدم رہنا  رکھنا ,To be steadfast
sh1,شاخ,branch
sh2,شام,evening
sh3,شائد,maybe
sh4,شراب ,"Beer, wine"
sh5,شرمانا,To be shy
sh6,شروع کرنا,To start
sh7,شرمگاہ,Private part
sh8,شریک,"Accomplice, partner"
sh9,شعلہ,Flame
sh10,شک و شبہ,"Doubt, suspicion"
sh11,شکل و صورت,"Shape, figure"
sh12,شکل و صورت بنانا,Give shape
sh13,شگاف,split
sh14,شہر,"Town, city"
sh15,شیشہ,glass
sh16,صاف کرنا,"To cleanse, wipe "
sh17,صبح,morning
sh18,صبح کرنا,Actions related to the  morning
sh19,صبر کرنا,To be patient
sh20,صلح,Peace treaty
sh21,ضامن,guarantor
q1,قابو پانا,To gain control
q2,قافلہ,caravan
q3,قبر,grave
q4,قبول کرنا,To accept
q5,قبیلہ خاندان,"Family,tribe"
q6,قتل کرنا ,To kill
q7,قدم,step
q8,قرار پکڑنا,To have stability
q9,قرآن کے مختلف نام,Different names of the Quran
q10,قربانی کا جانور,Animal of sacrifice?
q11,قسم اٹھانا,To take an oath
q12,قسم توڑنا,To break an oath
q13,قلعہ,fort
q14,قوت دینا ,To strengthen
q15,قمیص,"Shirt, garment"
q16,قیامت اور اسکے مختلف نام,Doomsday and its different names
q17,قید خانہ,jail
q18,قید کرنا   قیدی بنانا,To imprison
zz1,ذبح کرنا,To slaughter
zz2,ذریعہ,"Means, medium"
zz3,ذلت,disgrace
zz4,ذلیل,disgraced
zz5,ذلیل کرنا,To disgrace
zz6,ذمہ داری,responsibility
za1,زائد,surplus
za2,زبردستی کرنا,To force
za3,زخم,"Wound , gash"
za4,زمانہ,Period of time
za5,زمین اور اسکی اقسام,Earth and its varieties
za6,زمین بوس ہونا – کرنا ,Sink/collapse into the Earth
za7,زنجیریں,Chains
za8,زندہ کرنا,Bring to live
za9,زندہ ہونا - رہنا,To be live
za10,زینت,"Elegance, beauty, ornaments"
Z1,ظاہر ہونا,"To become manifest, revealed"
Z2,ظاہر کرنا,"To reveal, manifest"
w1,وافر- بہت,plentiful
w2,والا-  والے,The ones of/the people of 
w3,وراثت,inheritance
w4,وقت,time
h1,ہاتھ,"Hand, either right hand or left hand, arm"
h2,ہاں,yes
h3,ہانپنا,To pant
h4,ہٹانا,To remove
h5,ہدایت دینا پانا,"To receive guidance, to give guidance"
h6,ہلاکت,destruction
h7,ہلاک ہونا - کرنا,"To be perished, to destroy"
h8,ہلکا ہونا - کرنا,"To be light(in weight), to make light"
h9,ہلنا - ہلانا,"To move, to shake "
h10,ہم آہنگی - ہونا,Congruence 
h11,ہمت ہارنا,To lose heart
h12,ہموار کرنا,To make level
h13,ہمیشہ,Always
h14,ہمیشہ ہونا - رہنا,To remain always
h15,ہنسنا,To laugh
h16,ہوا اور اسکی اقسام,Wind  and its different types
h17,ہونا,To happen
y1,یا,or
y2,یاد کرنا – آنا - رکھنا,To remember
y3,یقین کرنا,"To belief, to have faith"
y4,یکسو ہونا,To have complete devotion
k1,کاٹنا,"To cut, "
k2,کٹنا,Cut
k3,کاغز,Paper
k4,کافی ہونا,To be enough
k5,کام آنا,To be of use
k6,کام – کام کرنا,"Work, To work"
k7,کامیاب ہونا,To be successful
k8,کان,Ears
k9,کانپنا,"To tremble, shiver"
k10,کب,When
k11,کتاب,Book
k12,کترا جانا – بچ کر نکل جانا,"To dodge, evade"
k13,کتنا کتنے,"How much, how many"
k14,کریدنا,To scratch
k15,کڑوا,"Bitter, unpalatable"
k16,کسان,"Peasant, farmer"
k17,کشتی جہاز,ship
k18,کعبہ اور اسکے مختلف نام,Kaaba and its different names
k19,کل,"Yesterday, tomorrow"
k20, گھٹانا کم کرنا کمی کرنا,"To decrease, "
k21,کمانا – کمائی کرنا,"To earn, "
k22,کمرہ,Room
k23,کمزور,Weak
k24,کنارہ ,"Edge, brink"
k25,کنواں,Well
k26,کوڑا,Whip
k27,کوشش کرنا,"To endeavor,"
k28,کون,Who
k29,کوئی,"Anybody, somebody"
k30,کہ گویا کہ,"Who , which, that, such as"
k31,کہاں,Where
k32,کہانیاں  واقعات,"Stories, legends, incidents"
k33,کھال,Skin
k34,کھال اتارنا,To remove the skin
k35,کھانا,Food
k36,کھلانا,To feed
k37,کھجور,dates
k38,کھڑا ہونا - کرنا,"To stand, cause to stand"
k39,کھولنا,To boil
k40,کھولنا,To open
k41,کھیتی,Fields  of crop
k42,کھینچنا,To pull
k43,کھیلنا,To play
k44,کیا,What
k45,کیسے,How
k46,کیوں – کیوں نہ,"Why, why not"
k47,گاڑنا,To pitch/plant
k48,گردش ایام,Passage of time
k49,گردن,Neck
k50,گرفت کرنا,"To grasp, to arrest"
k51,گرمی – گرم کرنا- ہونا ,"Heat, to heat, to be hot"
k52,گرمی حاصل کرنا,To obtain heat
k53,گرنا - گرانا,"To fall, cause to fall"
k54,گروی رکھنا,To pawn
k55,گڑھا,Ditch
k56,گزرنا,To pass by
k57,گلا,neck
k58,گم ہونا,To be lost
k59,گمان کرنا,To think/have thoughts
k60,گناہ,Sin
k61,گنہگار,Sinful
k62,گند گی نجاست,"Filth, impurity"
k63,گننا,To count
k64,گود,Lap
k65,گہرا - گہرائی,"Deep, deepness"
k66,گھاٹ ,Watering place
k67,گھاٹی,Valley
k68,گھر,House
k69,گھڑی,Time
k70,گھسنا,Enter by force
k71,گھسیٹنا,To drag
k72,گھوڑا,horse
k73,گھیرنا,To surround
