id,Transliteration,Arabic word
d23,Maalik,مَالِك
d24,Qareen,قَرِين
d24,Rafeeq,رَفِيق
d24,Sadeeq-Sid’deeq,صَدِيق-صِدِّيق
d24,Walee-Mawaalee,وَلِي-مَوَالِي
d24,Khaleel,خَلِيل
d24,Hameem,حَمِيم
d24,Waleejah,وَلِيجَة
d24,Bitaanah,بِطَانَة
d24,Khathool,خَذُول
d24,Akh’daan,أَخْدَان
d25,Rajama,رَجَمَ
d25,Khasa’aa,خَسَأَ
d25,Dahara,دَحَرَ
d26,Ebyadda,اِبْيَضَ
d26,En’kadara,اِنْكَدَرَ
d26,Aman,عَمَىً
d26,Ghummah,غُمَّةً
d27,Dukh’khaan,دُخَان
d27,Nuhaass,نُحَاس
d27,Yah’moom,يَحْمُوم
d28,Shamss,شَمْس
d28,Duhaa,ضُحَى
d28,Harra,حَرَّ
d28,Haroor,حَرُور
d29,Gharra,غَرَّ
d29,Khada’aa,خَدَعَ
d29,Khaana,خَانَ
d29,Khathala,خَذَلَ
d29,Raagha,رَاغَ
d29,Khatara,خَتَرَ
d30,Ra’aa,رَأَى
d30,Nazara,نَظَرَ
d30,Basara-Basura,بَصَرَ-بَصُرَ
d30,Aaanasa,آنَسَ
d30,Zaara,زَارَ
d31,Shakhasa,شَخَصَ
d31,Lamaha,لَمَحَ
d31,Hata’aa,هَطَعَ
d31,Ashaa,عَشَا
d31,Aghmada,أَغْمَضَ
d31,Zaagha,زَاغَ
d31,Bariqa,بَرِقَ
d32,Araa-Ara,أَرَاى-ارى
d32,Basura,بَصرَ
d32,Tabarraj,تَبَرَّج
d33,Deen,دِين
d33,Sahree’ah,شَرِيعَة
d33,Millah,مِلَّة
d34,Ataa,أَتَى
d34,A’ataa,أَعْطَى
d34,Athaaba,أَثَابَ
d34,Aadaa’a,أَدَاءٌ
d34,Deeyah,دِيَة
d34,Wahaba,وَهَبَ
d34,Rafada,رَفَدَ
d34,Dafa’aa Elaa,دَفَعَ إِلَى
d34,Hadeeyah,هَدِيَة
d34,Nih’lah,نِحْلَةً
d35,Jidaar,جِدَار
d35,Sadd,سَدّ
d35,Radm,رَدْم
d35,Soor,سُور
d35,Bunyaan,بُنْيَان
d36,Majnoon,مَجْنُون
d36,Khabata,خَبَطَ
d36,Maftoon,مَفْتُون
d36,Su’or,سُعُر
dd1,Alqaa,أَلْقَى
dd1,Salaka,سَلَكَ
dd1,Nabatha,نَبَذَ
dd1,Qathafa,قَذَفَ
dd1,Afragha,اَفْرَغَ
dd1,Awqa’aa,أَوْقَعَ
dd2,Aghraqa,أَغْرَقَ
dd2,Sabagha,صَبَغَ
dd3,Khaafa,خَافَ
dd3,Khashiya,خَشِيَ
dd3,Khasha’aa,خَشَعَ
dd3,Et’taqaa,اِتَّقَى
dd3,Raa’aa,رَاعَ
dd3,Hithrr,حِذْر
dd3,Awjasa,أَوْجَسَ
dd3,Wajafa,وَجَفَ
dd3,Wajala,وَجَلَ
dd3,Rahaba,رَهَبَ
dd3,Ra’a’ba,رَعَبَ
dd3,Ash’faqa,أَشْفَقَ
dd4,Khaw’wafa,خَوَّفَ
dd4,Hath’thara,حَذَّرَ
dd4,Arr’haba,أَرْهَبَ
dd4,Anthara,أَنْذَرَ
dd4,Aw’a’da,أَوْعَدَ
dd5,Dal’oo,دَلْو
dd5,Thanoob,ذَنُوب
dd6,Junnah,جُنَّة
dd6,Ur’dah,عُرْضَة
dd7,Janna,جَنَّ
dd7,Ghashiya,غَشى
dd7,Agh’shaa Wa Ghayyarah,أَغْشَى و غَيره
dd7,Arhaqa,أَرْهَق
dd8,Zaala,زَال
dd8,Dalaka,دَلَك
dd9,Talaba,طَلَبَ
dd9,Eb’tighaa’a,إِبْتِغَاء
dd9,Tajass’sasa,تَجَسَّسَ
dd9,El’tamasa,إِلْتَمَسَ
dd9,Jaasa,جَاسَ
dd9,Buothira,بُعْثِرَ
dd9,Taharraa,تَحَرَّى
